Trade #,ENTRY DATE,Month ,Year,Day,System,Symbols,LOT SIZE,Qty,LONG/SHORT,Average Qty,ENTRY,SYSTEM ENTRY,EXIT,SYSTEM EXIT,BNF_Intra PnL in points,Charges,Slippage points,Commission points,Commisiion and slippage,Gross PnL,Net PnL,Net Points,Result,Cum Profit,Cum Points,Account growth,% on Equity,% on initial equity,CAGR %,Net Cum %,Equity Peak,Max Sys Drawdown,Average Slippage_Fdsystem,Average Slippage_IBFD,Average Slippage_BNFIntra,Remarks
50,15-07-2021,#REF!,#REF!,Thu,IBFD_Invertir,,5,125,SHORT,#REF!,123.2,123.25,138.58,148,,250,#REF!,#REF!,2.72%,-1922.5,-2172.5,-17.38,LOSS,24101.93,323,524101.9325,-0.41%,-0.43%,4.94%,4.82%,570051.1825,7.68%,-1.29%,-1.13%,-0.07%,
51,20-07-2021,#REF!,#REF!,Tue,FD System,,4,100,SHORT,#REF!,276.85,282.4,269.9,269,,250,#REF!,#REF!,-1.62%,695,445,4.45,WIN,24546.93,327,524546.9325,0.08%,0.09%,5.03%,4.91%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
52,20-07-2021,#REF!,#REF!,Tue,IBFD_Invertir,,3,75,SHORT,#REF!,261.25,260.55,249.9,255.45,,250,#REF!,#REF!,0.57%,851.25,601.25,8.02,WIN,25148.18,335,525148.1825,0.11%,0.12%,5.14%,5.03%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
53,22-07-2021,#REF!,#REF!,Thu,FD System,,4,100,SHORT,#REF!,134.95,141.2,101.3,102.5,,250,#REF!,#REF!,-3.10%,3365,3115,31.15,WIN,28263.18,366,528263.1825,0.59%,0.62%,5.73%,5.65%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
54,22-07-2021,#REF!,#REF!,Thu,IBFD_Invertir,,4,100,SHORT,#REF!,127.6,128.7,54,53.61,,250,#REF!,#REF!,-2.19%,7360,7110,71.1,WIN,35373.18,438,535373.1825,1.35%,1.42%,7.08%,7.07%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
55,27-07-2021,#REF!,#REF!,Tue,FD System,,3,75,SHORT,#REF!,338.45,338.95,374.35,370.1,,250,#REF!,#REF!,-1.14%,-2692.5,-2942.5,-39.23,LOSS,32430.68,398,532430.6825,-0.55%,-0.59%,6.53%,6.49%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
56,27-07-2021,#REF!,#REF!,Tue,IBFD_Invertir,,3,75,SHORT,#REF!,317.95,318.55,290.8,284.15,,250,#REF!,#REF!,-1.76%,2036.25,1786.25,23.82,WIN,34216.93,422,534216.9325,0.34%,0.36%,6.87%,6.84%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
57,28-07-2021,Jul,2021,Wed,FD System,,4,100,SHORT,86.16071429,272,274.75,364.5,353,,250,,,-2.67%,-9250,-9500,-95,LOSS,24716.93,327,524716.9325,-1.78%,-1.90%,5.09%,4.94%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
58,28-07-2021,Jul,2021,Wed,IBFD_Invertir,,3,75,SHORT,86.16071429,270.85,272.4,336.05,335,,250,,,-0.98%,-4890,-5140,-68.53,LOSS,19576.93,259,519576.9325,-0.98%,-1.03%,4.11%,3.92%,570051.1825,8.06%,-1.29%,-1.13%,-0.07%,
59,29-07-2021,Jul,2021,Thu,FD System,,4,100,SHORT,86.16071429,140.25,143.05,172.3,158.5843,,250,,,,-3205,-3455,-34.55,LOSS,16121.93,224,516121.9325,-0.66%,-0.69%,3.44%,3.22%,570051.1825,8.85%,-1.46%,-1.30%,,
60,29-07-2021,Jul,2021,Thu,IBFD_Invertir,,4,100,SHORT,86.16071429,128.85,130.9,119.05,110.1756,,250,,,,980,730,7.3,WIN,16851.93,231,516851.9325,0.14%,0.15%,3.58%,3.37%,570051.1825,9.46%,-1.46%,-1.30%,,
61,03-08-2021,Aug,2021,Tue,FD System,,3,75,SHORT,86.16071429,314.45,320.6,395.2,391.1,,250,,,,-6056.25,-6306.25,-84.08,LOSS,10545.68,147,510545.6825,-1.22%,-1.26%,2.36%,2.11%,570051.1825,9.46%,-1.48%,-1.08%,,
62,03-08-2021,Aug,2021,Tue,IBFD_Invertir,,3,75,SHORT,86.16071429,281.95,284.05,248.7,279.68,,250,,,,2493.75,2243.75,29.92,WIN,12789.43,177,512789.4325,0.44%,0.45%,2.80%,2.56%,570051.1825,10.44%,-1.48%,-1.08%,,
63,04-08-2021,Aug,2021,Wed,FD System,,3,75,SHORT,86.16071429,245.05,245.85,257.6,254.1,,,,,-1.53%,-941.25,-1191.25,-15.88,LOSS,,,,,,,,,,,,,
64,04-08-2021,Aug,2021,Wed,IBFD_Invertir,,4,100,SHORT,86.16071429,241.2,241.9,209.3,215.15,,,,,0.58%,3190,2940,29.4,WIN,,,,,,,,,,,,,
65,05-08-2021,Aug,2021,Thu,FD System,,3,75,SHORT,86.16071429,195.55,197.5,1.3,1.7,,,,,-2.45%,14568.75,14318.75,190.92,WIN,,,,,,,,,,,,,
66,05-08-2021,Aug,2021,Thu,IBFD_Invertir,,4,100,SHORT,86.16071429,139.9,144.9,239.62,224.0671,,,,,-6.25%,-9972,-10222,-102.22,LOSS,,,,,,,,,,,,,
67,10-08-2021,Aug,2021,Tue,FD System,,2,50,SHORT,,357.25,357.1,316.25,312.3,,,,,-0.01255,2050,1820,36.4,WIN,,,,,,,,,,,,,
68,10-08-2021,Aug,2021,Tue,IBFD_Invertir,,2,50,SHORT,,353.6333,354.45,325.68333,331.0742,,,,,-0.00018,1397.4985,1162.5,23.25,WIN,,,,,,,,,,,,,
69,11-08-2021,Aug,2021,Wed,FD System,,3,75,SHORT,,298.8,305.8,309.4,306.65,,,,,-0.02136,-795,-1045,-13.93,LOSS,,,,,,,,,,,,,
70,11-08-2021,Aug,2021,Wed,IBFD_Invertir,,3,75,SHORT,,286.5,289.55,317.45,307.15,,,,,-0.02796,-2321.25,-2571.25,-34.28,LOSS,,,,,,,,,,,,,
71,12-08-2021,Aug,2021,Thu,FD System,,4,100,SHORT,,156.4,160.7,167.4,163.69,,,,,-0.0324,-1100,-1350,-13.5,LOSS,,,,,,,,,,,,,
72,12-08-2021,Aug,2021,Thu,IBFD_Invertir,,4,100,SHORT,,117.7,118.7,95.5,93.97,,,,,-0.02365,2220,1970,19.7,WIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
